,host_name,calculated_host_listings_count_entire_homes,neighbourhood_cleansed,latitude,longitude
0,Nick,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97922,23.7247
1,ΜΙΧΟΣ Μονοπροσωπη Ικε,17,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97623,23.7308
2,Γιώργος,4,ΑΜΠΕΛΟΚΗΠΟΙ,37.9832706,23.7535501
3,Angelos,3,ΠΑΤΗΣΙΑ,38.00945032548231,23.73300506881317
4,Michail,3,ΚΥΨΕΛΗ,38.00037,23.74047
5,Bill & John,30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97867,23.7366
6,Sanders,14,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9841866,23.7373208
7,Mint,9,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98867699514217,23.741875598439712
8,Peter,4,ΖΑΠΠΕΙΟ,37.96699,23.73076
9,Mgv,101,ΑΚΡΟΠΟΛΗ,37.96274,23.71821
10,Κωνσταντινος,22,ΠΑΓΚΡΑΤΙ,37.9703731,23.7452287
11,Konstantinos,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97298,23.73307
12,Annie,5,ΝΕΟΣ ΚΟΣΜΟΣ,37.96340802207342,23.727704398334023
13,Amelie,32,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97838,23.72786
14,Evelyn,20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97982,23.72681
15,Konstantinos,10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9747,23.73277
16,Phaedrus Living,34,ΛΥΚΑΒΗΤΤΟΣ,37.98687066992668,23.74722037070128
17,Vaggelis,4,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.968035,23.7307661
18,Hostingme,4,ΣΤΑΔΙΟ,37.9660746,23.7460398
19,Maya,3,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9883,23.72903
20,Klepsydra,14,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98027,23.73059
21,Lucas,15,ΘΗΣΕΙΟ,37.97567255511307,23.714728702909003
22,Katerina,6,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767833,23.7267682
23,Raise Team,42,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96727,23.72909
24,Platina,3,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767556,23.7290954
25,Home,23,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98632,23.73116
26,Ma Maison,7,ΖΑΠΠΕΙΟ,37.96733394886691,23.735490411500543
