,neighbourhood_cleansed,count
0,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1589
1,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,656
2,ΝΕΟΣ ΚΟΣΜΟΣ,501
3,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,486
4,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,423
5,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,287
6,ΠΑΓΚΡΑΤΙ,256
7,ΑΜΠΕΛΟΚΗΠΟΙ,202
8,ΑΚΡΟΠΟΛΗ,197
9,ΚΕΡΑΜΕΙΚΟΣ,196
10,ΚΟΛΩΝΑΚΙ,195
11,ΘΗΣΕΙΟ,194
12,ΠΕΤΡΑΛΩΝΑ,178
13,ΖΑΠΠΕΙΟ,133
14,ΣΤΑΔΙΟ,118
15,ΚΥΨΕΛΗ,112
16,ΓΟΥΔΙ,110
17,ΙΛΙΣΙΑ,102
18,ΝΙΡΒΑΝΑ,84
19,ΛΥΚΑΒΗΤΤΟΣ,68
20,ΠΑΤΗΣΙΑ,66
21,ΓΚΑΖΙ,63
22,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,58
23,ΠΕΔΙΟ ΑΡΕΩΣ,50
24,ΑΝΩ ΚΥΨΕΛΗ,41
25,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,35
26,ΓΟΥΒΑ,31
27,ΚΟΛΩΝΟΣ,30
28,ΓΚΥΖΗ,30
29,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,29
30,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,27
31,ΕΛΛΗΝΟΡΩΣΩΝ,27
32,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,25
33,ΒΟΤΑΝΙΚΟΣ,25
34,ΝΕΑ ΚΥΨΕΛΗ,17
35,ΣΕΠΟΛΙΑ,15
36,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,13
37,ΑΝΩ ΠΑΤΗΣΙΑ,12
38,ΚΟΛΟΚΥΝΘΟΥ,5
39,ΠΡΟΜΠΟΝΑ,2
40,ΠΟΛΥΓΩΝΟ,2
41,ΡΙΖΟΥΠΟΛΗ,1
