,neighbourhood_cleansed,many_properties,many_properties,cleaned_price,cleaned_price
,,,sum,median,mean
0,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,0,0,49.0,54.625
1,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,1,25,93.0,122.875
2,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,0,0,40.0,48.0
3,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,1,12,73.0,69.9090909090909
4,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0,0,51.0,67.78547854785478
5,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1,400,46.0,59.51908396946565
6,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,0,0,40.0,56.285714285714285
7,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,1,35,50.0,54.857142857142854
8,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,0,0,47.0,55.69090909090909
9,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,1,27,46.0,44.55555555555556
10,ΑΚΡΟΠΟΛΗ,0,0,78.5,102.63253012048193
11,ΑΚΡΟΠΟΛΗ,1,194,109.0,273.359375
12,ΑΜΠΕΛΟΚΗΠΟΙ,0,0,55.0,62.50431034482759
13,ΑΜΠΕΛΟΚΗΠΟΙ,1,184,59.0,73.0939226519337
14,ΑΝΩ ΚΥΨΕΛΗ,0,0,45.0,51.145161290322584
15,ΑΝΩ ΚΥΨΕΛΗ,1,37,43.0,47.486486486486484
16,ΑΝΩ ΠΑΤΗΣΙΑ,0,0,49.0,56.4468085106383
17,ΑΝΩ ΠΑΤΗΣΙΑ,1,12,47.5,55.333333333333336
18,ΒΟΤΑΝΙΚΟΣ,0,0,58.0,177.36170212765958
19,ΒΟΤΑΝΙΚΟΣ,1,25,60.0,87.56
20,ΓΚΑΖΙ,0,0,65.0,69.78787878787878
21,ΓΚΑΖΙ,1,63,60.5,82.37096774193549
22,ΓΚΥΖΗ,0,0,51.0,64.5
23,ΓΚΥΖΗ,1,30,40.0,43.8
24,ΓΟΥΒΑ,0,0,60.0,66.34042553191489
25,ΓΟΥΒΑ,1,31,60.0,63.41935483870968
26,ΓΟΥΔΙ,0,0,57.5,74.83035714285714
27,ΓΟΥΔΙ,1,104,60.0,67.14563106796116
28,ΕΛΛΗΝΟΡΩΣΩΝ,0,0,53.5,59.77272727272727
29,ΕΛΛΗΝΟΡΩΣΩΝ,1,26,70.0,95.96153846153847
30,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0,0,88.0,135.62254025044723
31,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1,1540,89.0,128.88670595939752
32,ΖΑΠΠΕΙΟ,0,0,76.0,90.2
33,ΖΑΠΠΕΙΟ,1,131,118.5,242.9
34,ΘΗΣΕΙΟ,0,0,70.5,95.27848101265823
35,ΘΗΣΕΙΟ,1,177,79.0,114.37714285714286
36,ΙΛΙΣΙΑ,0,0,65.0,76.13131313131314
37,ΙΛΙΣΙΑ,1,102,80.0,97.42
38,ΚΕΡΑΜΕΙΚΟΣ,0,0,69.0,113.24137931034483
39,ΚΕΡΑΜΕΙΚΟΣ,1,193,87.0,115.4869109947644
40,ΚΟΛΟΚΥΝΘΟΥ,0,0,40.0,39.375
41,ΚΟΛΟΚΥΝΘΟΥ,1,5,44.5,44.25
42,ΚΟΛΩΝΑΚΙ,0,0,84.0,113.04926108374384
43,ΚΟΛΩΝΑΚΙ,1,182,104.0,129.14525139664804
44,ΚΟΛΩΝΟΣ,0,0,50.0,54.73134328358209
45,ΚΟΛΩΝΟΣ,1,30,50.0,58.86206896551724
46,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0,0,74.0,99.17757009345794
47,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,1,621,96.0,123.8257328990228
48,ΚΥΨΕΛΗ,0,0,50.0,66.4724409448819
49,ΚΥΨΕΛΗ,1,108,61.5,78.97169811320755
50,ΛΥΚΑΒΗΤΤΟΣ,0,0,65.0,100.81395348837209
51,ΛΥΚΑΒΗΤΤΟΣ,1,67,65.5,85.57575757575758
52,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0,0,56.0,69.24747474747475
53,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1,478,69.0,257.28297872340426
54,ΝΕΑ ΚΥΨΕΛΗ,0,0,56.5,63.89473684210526
55,ΝΕΑ ΚΥΨΕΛΗ,1,17,50.0,54.11764705882353
56,ΝΕΟΣ ΚΟΣΜΟΣ,0,0,60.0,74.10613207547169
57,ΝΕΟΣ ΚΟΣΜΟΣ,1,489,66.0,89.52173913043478
58,ΝΙΡΒΑΝΑ,0,0,41.0,46.10126582278481
59,ΝΙΡΒΑΝΑ,1,73,45.0,55.43939393939394
60,ΠΑΓΚΡΑΤΙ,0,0,57.0,77.17959183673469
61,ΠΑΓΚΡΑΤΙ,1,245,73.0,96.67634854771784
62,ΠΑΤΗΣΙΑ,0,0,48.0,73.0
63,ΠΑΤΗΣΙΑ,1,60,48.0,55.53333333333333
