,neighbourhood_cleansed,0,1
0,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,53.0,47.0
1,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,61.0,39.0
2,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,44.0,56.0
3,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,63.0,37.0
4,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,69.0,31.0
5,ΑΚΡΟΠΟΛΗ,47.0,53.0
6,ΑΜΠΕΛΟΚΗΠΟΙ,57.0,43.0
7,ΑΝΩ ΚΥΨΕΛΗ,64.0,36.0
8,ΑΝΩ ΠΑΤΗΣΙΑ,80.0,20.0
9,ΒΟΤΑΝΙΚΟΣ,66.0,34.0
10,ΓΚΑΖΙ,35.0,65.0
11,ΓΚΥΖΗ,73.0,27.0
12,ΓΟΥΒΑ,60.0,40.0
13,ΓΟΥΔΙ,53.0,47.0
14,ΕΛΛΗΝΟΡΩΣΩΝ,63.0,37.0
15,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,27.0,73.0
16,ΖΑΠΠΕΙΟ,22.0,78.0
17,ΘΗΣΕΙΟ,48.0,52.0
18,ΙΛΙΣΙΑ,50.0,50.0
19,ΚΕΡΑΜΕΙΚΟΣ,38.0,62.0
20,ΚΟΛΟΚΥΝΘΟΥ,64.0,36.0
21,ΚΟΛΩΝΑΚΙ,54.0,46.0
22,ΚΟΛΩΝΟΣ,70.0,30.0
23,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,42.0,58.0
24,ΚΥΨΕΛΗ,55.0,45.0
25,ΛΥΚΑΒΗΤΤΟΣ,56.0,44.0
26,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,46.0,54.0
27,ΝΕΑ ΚΥΨΕΛΗ,70.0,30.0
28,ΝΕΟΣ ΚΟΣΜΟΣ,48.0,52.0
29,ΝΙΡΒΑΝΑ,52.0,48.0
30,ΠΑΓΚΡΑΤΙ,51.0,49.0
31,ΠΑΤΗΣΙΑ,59.0,41.0
32,ΠΕΔΙΟ ΑΡΕΩΣ,51.0,49.0
33,ΠΕΝΤΑΓΩΝΟ,100.0,
34,ΠΕΤΡΑΛΩΝΑ,50.0,50.0
35,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,64.0,36.0
36,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,48.0,52.0
37,ΠΟΛΥΓΩΝΟ,92.0,8.0
38,ΠΡΟΜΠΟΝΑ,82.0,18.0
39,ΡΗΓΙΛΛΗΣ,100.0,
40,ΡΙΖΟΥΠΟΛΗ,90.0,10.0
41,ΣΕΠΟΛΙΑ,63.0,37.0
42,ΣΤΑΔΙΟ,50.0,50.0
43,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,66.0,34.0
